産地,品種銘柄,7年4月_価格（6年産米）,7年4月_数量（6年産米）,出回り～7年4月_年産平均価格（6年産）,出回り～6年10月_年産平均価格（5年産）,対前年比,7年3月_価格（6年産米）,対前月比,6年4月_価格（5年産米）,対前年比,7年3月_数量（6年産米）,対前月比,6年4月_数量（5年産米）,対前年比
長崎,ヒノヒカリ,-,-,"23,569","14,331",164%,"24,288",-,-,-,252,-,-,-
熊本,ヒノヒカリ,"27,202",252,"25,524","14,821",172%,"26,453",103%,"14,999",181%,142,177%,723,35%
熊本,森のくまさん,-,-,-,"14,442",-,-,-,-,-,-,-,-,-
熊本,コシヒカリ,"24,140",188,"24,024","15,242",158%,"24,882",97%,"15,225",159%,184,102%,157,120%
大分,ヒノヒカリ,"24,643",129,"24,252","14,454",168%,"23,965",103%,-,-,694,19%,-,-
大分,なつほのか,-,-,"24,366",-,-,"24,505",-,-,-,138,-,-,-
大分,ひとめぼれ,-,-,"24,229","14,574",166%,-,-,-,-,-,-,-,-
宮崎,コシヒカリ,-,-,"22,600","14,582",155%,-,-,-,-,-,-,-,-
宮崎,ヒノヒカリ,-,-,"27,091","15,219",178%,-,-,-,-,-,-,-,-
鹿児島,ヒノヒカリ,-,-,"30,157","14,763",204%,-,-,"14,719",-,-,-,325,-
鹿児島,あきほなみ,-,-,"33,626","15,115",222%,-,-,"15,083",-,-,-,301,-
鹿児島,コシヒカリ,-,-,"21,140","14,670",144%,-,-,-,-,-,-,-,-
全銘柄平均価格、合計数量,,"27,102","93,889","24,597","15,315",161%,"25,876",105%,"15,526",175%,"168,721",56%,"100,715",93%
